codigo_ibge,municipio,uf,ano,precipitacao_anual_mm,temperatura_media_anual_c,temperatura_maxima_anual_c,temperatura_minima_anual_c,umidade_relativa_media_pct,radiacao_solar_media_mj_m2_dia,quantidade_dias
3546900,Santa Lúcia,SP,2000,1501.45,22.140983606557377,28.599644808743168,16.580245901639344,72.09054644808744,18.72210382513661,366
3546900,Santa Lúcia,SP,2001,1274.89,22.47958904109589,28.856,17.005835616438358,71.04126027397261,19.171698630136987,365
3546900,Santa Lúcia,SP,2002,1443.65,23.14005479452055,29.63701369863014,17.58178082191781,70.22172602739727,19.010219178082192,365
3546900,Santa Lúcia,SP,2003,1447.1399999999999,22.202904109589042,28.587835616438355,16.674958904109587,71.94268493150686,18.842356164383563,365
3546900,Santa Lúcia,SP,2004,1518.79,21.689398907103826,27.923333333333336,16.27153005464481,74.41631147540983,18.590054644808742,366
3546900,Santa Lúcia,SP,2005,1319.03,22.554328767123287,28.977315068493148,17.08317808219178,71.66101369863014,18.282383561643833,365
3546900,Santa Lúcia,SP,2006,1326.3,22.31186301369863,28.758383561643836,16.791260273972604,70.73805479452055,18.925945205479454,365
3546900,Santa Lúcia,SP,2007,1234.85,22.73553424657534,29.34953424657534,16.968027397260276,69.93690410958905,18.920246575342468,365
3546900,Santa Lúcia,SP,2008,1319.86,22.257213114754098,28.672786885245902,16.73693989071038,71.60379781420765,18.470409836065574,366
3546900,Santa Lúcia,SP,2009,1625.83,22.0746301369863,27.693890410958904,17.280931506849313,78.53320547945205,17.907452054794522,365
3546900,Santa Lúcia,SP,2010,910.46,22.69172602739726,29.5573698630137,16.890136986301368,68.51594520547945,19.22895890410959,365
3546900,Santa Lúcia,SP,2011,1379.63,22.086904109589042,28.3153698630137,16.627397260273973,72.64117808219177,18.980301369863014,365
3546900,Santa Lúcia,SP,2012,1158.74,22.896338797814206,29.255437158469945,17.331311475409837,69.59368852459016,19.25013661202186,366
3546900,Santa Lúcia,SP,2013,1255.82,22.201616438356165,28.373013698630135,16.87186301369863,73.74172602739726,18.44917808219178,365
3546900,Santa Lúcia,SP,2014,734.34,23.969369863013696,31.094356164383562,17.84419178082192,60.897178082191786,19.665123287671236,365
3546900,Santa Lúcia,SP,2015,1202.55,23.396301369863014,29.610027397260275,18.129479452054795,71.35342465753425,18.19895890410959,365
3546900,Santa Lúcia,SP,2016,1273.24,22.414180327868852,28.842322404371586,16.897650273224045,73.2138524590164,18.96874316939891,366
3546900,Santa Lúcia,SP,2017,1099.13,22.98268493150685,29.51854794520548,17.442575342465755,68.49835616438357,19.145260273972603,365
3546900,Santa Lúcia,SP,2018,1148.3,22.997589041095893,29.255041095890412,17.596109589041095,70.07471232876712,18.790054794520547,365
3546900,Santa Lúcia,SP,2019,974.14,23.86758904109589,30.521863013698628,18.104219178082193,66.91676712328767,19.20095890410959,365
3546900,Santa Lúcia,SP,2020,880.14,23.851693989071038,31.04502732240437,17.672704918032785,62.92248633879782,19.443907103825136,366
3546900,Santa Lúcia,SP,2021,697.04,23.808164383561643,31.308849315068493,17.346246575342466,58.708109589041094,19.55731506849315,365
3546900,Santa Lúcia,SP,2022,1083.08,22.904301369863013,29.803534246575346,16.92235616438356,65.87391780821918,18.925260273972604,365
3546900,Santa Lúcia,SP,2023,1008.28,23.621917808219177,30.375753424657532,17.716301369863015,67.78791780821918,19.129424657534248,365
3546900,Santa Lúcia,SP,2024,958.51,24.964535519125683,32.3042349726776,18.484180327868852,58.13071038251366,18.66792349726776,366
3514007,Dobrada,SP,2000,1501.45,22.140983606557377,28.599644808743168,16.580245901639344,72.09054644808744,18.72210382513661,366
3514007,Dobrada,SP,2001,1274.89,22.47958904109589,28.856,17.005835616438358,71.04126027397261,19.171698630136987,365
3514007,Dobrada,SP,2002,1443.65,23.14005479452055,29.63701369863014,17.58178082191781,70.22172602739727,19.010219178082192,365
3514007,Dobrada,SP,2003,1447.1399999999999,22.202904109589042,28.587835616438355,16.674958904109587,71.94268493150686,18.842356164383563,365
3514007,Dobrada,SP,2004,1518.79,21.689398907103826,27.923333333333336,16.27153005464481,74.41631147540983,18.590054644808742,366
3514007,Dobrada,SP,2005,1319.03,22.554328767123287,28.977315068493148,17.08317808219178,71.66101369863014,18.282383561643833,365
3514007,Dobrada,SP,2006,1326.3,22.31186301369863,28.758383561643836,16.791260273972604,70.73805479452055,18.925945205479454,365
3514007,Dobrada,SP,2007,1234.85,22.73553424657534,29.34953424657534,16.968027397260276,69.93690410958905,18.920246575342468,365
3514007,Dobrada,SP,2008,1319.86,22.257213114754098,28.672786885245902,16.73693989071038,71.60379781420765,18.470409836065574,366
3514007,Dobrada,SP,2009,1625.83,22.0746301369863,27.693890410958904,17.280931506849313,78.53320547945205,17.907452054794522,365
3514007,Dobrada,SP,2010,910.46,22.69172602739726,29.5573698630137,16.890136986301368,68.51594520547945,19.22895890410959,365
3514007,Dobrada,SP,2011,1379.63,22.086904109589042,28.3153698630137,16.627397260273973,72.64117808219177,18.980301369863014,365
3514007,Dobrada,SP,2012,1158.74,22.896338797814206,29.255437158469945,17.331311475409837,69.59368852459016,19.25013661202186,366
3514007,Dobrada,SP,2013,1255.82,22.201616438356165,28.373013698630135,16.87186301369863,73.74172602739726,18.44917808219178,365
3514007,Dobrada,SP,2014,734.34,23.969369863013696,31.094356164383562,17.84419178082192,60.897178082191786,19.665123287671236,365
3514007,Dobrada,SP,2015,1202.55,23.396301369863014,29.610027397260275,18.129479452054795,71.35342465753425,18.19895890410959,365
3514007,Dobrada,SP,2016,1273.24,22.414180327868852,28.842322404371586,16.897650273224045,73.2138524590164,18.96874316939891,366
3514007,Dobrada,SP,2017,1099.13,22.98268493150685,29.51854794520548,17.442575342465755,68.49835616438357,19.145260273972603,365
3514007,Dobrada,SP,2018,1148.3,22.997589041095893,29.255041095890412,17.596109589041095,70.07471232876712,18.790054794520547,365
3514007,Dobrada,SP,2019,974.14,23.86758904109589,30.521863013698628,18.104219178082193,66.91676712328767,19.20095890410959,365
3514007,Dobrada,SP,2020,880.14,23.851693989071038,31.04502732240437,17.672704918032785,62.92248633879782,19.443907103825136,366
3514007,Dobrada,SP,2021,697.04,23.808164383561643,31.308849315068493,17.346246575342466,58.708109589041094,19.55731506849315,365
3514007,Dobrada,SP,2022,1083.08,22.904301369863013,29.803534246575346,16.92235616438356,65.87391780821918,18.925260273972604,365
3514007,Dobrada,SP,2023,1008.28,23.621917808219177,30.375753424657532,17.716301369863015,67.78791780821918,19.129424657534248,365
3514007,Dobrada,SP,2024,958.51,24.964535519125683,32.3042349726776,18.484180327868852,58.13071038251366,18.66792349726776,366
3514700,Echaporã,SP,2000,1365.75,21.769098360655736,28.459234972677596,16.075054644808745,72.99920765027322,18.29601092896175,366
3514700,Echaporã,SP,2001,1402.76,21.911616438356162,28.244958904109588,16.59994520547945,75.99860273972604,18.812657534246576,365
3514700,Echaporã,SP,2002,1386.6,22.676931506849314,29.254520547945205,17.190575342465756,73.81328767123287,19.00454794520548,365
3514700,Echaporã,SP,2003,1352.04,21.61090410958904,28.048904109589042,16.104027397260275,75.62090410958905,18.694849315068492,365
3514700,Echaporã,SP,2004,1393.22,21.530819672131148,28.103879781420765,16.009808743169398,75.21144808743169,18.61341530054645,366
3514700,Echaporã,SP,2005,1291.54,22.13701369863014,28.757479452054792,16.632383561643834,73.97649315068493,18.35005479452055,365
3514700,Echaporã,SP,2006,1133.98,22.518082191780824,29.40115068493151,16.790575342465754,69.68397260273973,18.766712328767124,365
3514700,Echaporã,SP,2007,1361.08,21.996575342465754,28.4158904109589,16.48778082191781,75.18323287671234,18.87682191780822,365
3514700,Echaporã,SP,2008,1189.1100000000001,21.886311475409837,28.60814207650273,16.27693989071038,73.50262295081967,18.541612021857922,366
3514700,Echaporã,SP,2009,1848.66,21.85482191780822,27.631643835616437,17.07567123287671,80.25378082191781,17.54682191780822,365
3514700,Echaporã,SP,2010,1128.72,21.726876712328767,28.21232876712329,16.380876712328767,75.49095890410959,18.41635616438356,365
3514700,Echaporã,SP,2011,1066.53,22.005835616438358,28.752657534246573,16.331287671232875,72.44709589041095,18.944657534246577,365
3514700,Echaporã,SP,2012,1109.85,22.887650273224043,29.76469945355191,17.132868852459016,70.2553825136612,19.061092896174863,366
3514700,Echaporã,SP,2013,1246.83,21.782986301369863,28.218876712328765,16.428027397260273,75.76635616438357,18.262054794520548,365
3514700,Echaporã,SP,2014,1203.74,22.846794520547945,29.626931506849314,17.18972602739726,70.18471232876713,18.8566301369863,365
3514700,Echaporã,SP,2015,1704.25,22.48909589041096,28.400191780821917,17.583424657534245,78.29249315068493,17.616246575342466,365
3514700,Echaporã,SP,2016,1516.32,21.234590163934424,27.182622950819674,16.195273224043717,80.2662568306011,18.643469945355193,366
3514700,Echaporã,SP,2017,1499.84,21.947945205479453,28.143780821917808,16.80619178082192,77.41071232876712,18.59517808219178,365
3514700,Echaporã,SP,2018,1395.51,22.153972602739724,28.22082191780822,17.021561643835618,76.76523287671233,18.54328767123288,365
3514700,Echaporã,SP,2019,1028.78,23.65312328767123,30.485041095890413,17.89380821917808,69.29301369863013,19.240931506849314,365
3514700,Echaporã,SP,2020,1030.7,23.15295081967213,30.432868852459016,16.93486338797814,67.2641256830601,19.567185792349726,366
3514700,Echaporã,SP,2021,911.74,22.92632876712329,30.365123287671235,16.686794520547945,64.47734246575342,19.412356164383564,365
3514700,Echaporã,SP,2022,1264.14,22.086109589041097,28.86378082191781,16.436520547945204,71.80884931506849,18.44268493150685,365
3514700,Echaporã,SP,2023,1195.6,23.087205479452056,29.73454794520548,17.45564383561644,72.0436712328767,18.360219178082193,365
3514700,Echaporã,SP,2024,1002.6,24.34693989071038,31.746284153005462,18.0601912568306,62.782349726775955,18.44325136612022,366
3541307,Presidente Epitácio,SP,2000,1308.51,23.468688524590167,29.993879781420766,17.900683060109287,69.55691256830602,18.253005464480875,366
3541307,Presidente Epitácio,SP,2001,1398.77,23.47230136986301,29.627835616438357,18.142082191780823,72.09446575342466,18.70895890410959,365
3541307,Presidente Epitácio,SP,2002,1194.59,24.870027397260273,31.70205479452055,19.116794520547945,66.6172602739726,19.05476712328767,365
3541307,Presidente Epitácio,SP,2003,1417.02,23.140794520547942,29.428904109589038,17.69241095890411,72.56764383561644,18.94427397260274,365
