codigo_ibge,municipio,uf_agricola,produto,ano,area_plantada_ha,area_colhida_ha,producao_ton,rendimento_kg_ha,produtividade_ton_ha_ibge,produtividade_ton_ha_calculada,diferenca_produtividade_ton_ha,valor_producao_mil_reais,uf_clima,precipitacao_anual_mm,temperatura_media_anual_c,temperatura_maxima_anual_c,temperatura_minima_anual_c,umidade_relativa_media_pct,radiacao_solar_media_mj_m2_dia,quantidade_dias,variacao_anual_produtividade_pct,variacao_anual_producao_pct,precipitacao_media_diaria_mm,amplitude_termica_media_c,dias_chuvosos_p1_brotacao_crescimento_inicial,dias_chuvosos_p2_crescimento_acumulo_sacarose,dias_chuvosos_p3_maturacao_colheita,dias_secos_p1_brotacao_crescimento_inicial,dias_secos_p2_crescimento_acumulo_sacarose,dias_secos_p3_maturacao_colheita,precipitacao_acumulada_mm_p1_brotacao_crescimento_inicial,precipitacao_acumulada_mm_p2_crescimento_acumulo_sacarose,precipitacao_acumulada_mm_p3_maturacao_colheita,temperatura_media_c_p1_brotacao_crescimento_inicial,temperatura_media_c_p2_crescimento_acumulo_sacarose,temperatura_media_c_p3_maturacao_colheita,produtividade_ton_ha_ibge_lag1,precipitacao_anual_mm_lag1
3500105,Adamantina (SP),SP,Cana-de-açúcar,2020,11349,11349.0,794430.0,70000.0,70.0,70.0,0.0,51709.0,SP,856.78,25.45122950819672,32.45065573770492,19.358715846994535,59.946666666666665,20.016830601092895,366,-6.666666666666665,-15.260799999999996,2.340928961748634,13.091939890710385,43.0,50.0,17.0,79.0,71.0,106.0,244.05,476.36,136.37,28.635409836065573,25.729917355371903,22.01878048780488,75.0,945.05
3500105,Adamantina (SP),SP,Cana-de-açúcar,2021,13672,13672.0,888680.0,65000.0,65.0,65.0,0.0,98821.0,SP,651.98,25.53558904109589,32.77197260273973,19.219068493150687,54.8686301369863,19.688246575342465,365,-7.14285714285714,11.86385207003764,1.786246575342466,13.552904109589043,40.0,48.0,11.0,82.0,72.0,112.0,292.23,294.14,65.61,27.841147540983606,27.016750000000002,21.803739837398375,70.0,856.78
3500105,Adamantina (SP),SP,Cana-de-açúcar,2022,12549,12549.0,815685.0,65000.0,65.0,65.0,0.0,102980.0,SP,1115.34,24.32191780821918,30.902301369863014,18.582520547945204,64.10799999999999,18.973342465753426,365,0.0,-8.213867758923342,3.05572602739726,12.31978082191781,63.0,65.0,19.0,59.0,55.0,104.0,449.2,511.6,154.54,25.30262295081967,26.2545,21.463739837398375,65.0,651.98
3500105,Adamantina (SP),SP,Cana-de-açúcar,2023,11349,11349.0,807039.0,71111.0,71.111,71.11102299762094,2.299762093116442e-05,103705.0,SP,1104.74,25.225232876712326,31.582657534246575,19.650027397260274,65.8584109589041,18.854876712328767,365,9.401538461538461,-1.0599680023538505,3.0266849315068494,11.932630136986301,47.0,80.0,15.0,75.0,40.0,108.0,323.41,624.78,156.54999999999998,29.664918032786883,24.91425,21.125040650406504,65.0,1115.34
3500105,Adamantina (SP),SP,Cana-de-açúcar,2024,11349,11349.0,811238.0,71481.0,71.481,71.48101154286721,1.1542867213165664e-05,113573.0,SP,951.15,26.42502732240437,33.34478142076503,20.431284153005464,56.98002732240437,18.788852459016393,366,0.5203133129895399,0.5202970364505344,2.5987704918032786,12.913497267759567,49.0,61.0,11.0,73.0,60.0,112.0,487.28,393.47,70.4,27.58172131147541,28.656198347107438,23.082845528455284,71.111,1104.74
3500204,Adolfo (SP),SP,Cana-de-açúcar,2001,8000,8000.0,640000.0,80000.0,80.0,80.0,0.0,15194.0,SP,1208.43,23.779698630136988,29.976630136986298,18.307013698630136,67.74158904109589,19.116219178082194,365,,,3.3107671232876714,11.669616438356162,67.0,77.0,22.0,55.0,43.0,101.0,604.24,460.34,143.85,25.20606557377049,25.046333333333333,21.12918699186992,,
3500204,Adolfo (SP),SP,Cana-de-açúcar,2004,968,968.0,116160.0,120000.0,120.0,120.0,0.0,2765.0,SP,1290.43,23.125081967213116,29.410792349726776,17.656857923497267,70.50715846994535,18.709180327868854,366,50.0,-81.85,3.5257650273224046,11.75393442622951,55.0,72.0,25.0,67.0,49.0,98.0,442.28999999999996,697.78,150.36,25.807786885245903,23.880743801652894,19.72081300813008,80.0,1208.43
3500204,Adolfo (SP),SP,Cana-de-açúcar,2005,1104,1104.0,98267.0,89009.0,89.009,89.00996376811594,0.0009637681159375688,3484.0,SP,1218.72,23.838849315068494,30.033534246575343,18.424931506849315,68.66394520547945,18.61509589041096,365,-25.825833333333335,-15.403753443526169,3.3389589041095893,11.608602739726027,66.0,72.0,16.0,56.0,48.0,107.0,445.87,596.99,175.85999999999999,25.60049180327869,24.7805,21.172845528455287,120.0,1290.43
3500204,Adolfo (SP),SP,Cana-de-açúcar,2006,1114,1114.0,111400.0,100000.0,100.0,100.0,0.0,3609.0,SP,1328.17,23.36219178082192,29.363068493150685,17.997808219178083,69.94534246575343,19.015095890410958,365,12.348189508926065,13.364608668220267,3.6388219178082193,11.365260273972602,72.0,69.0,10.0,50.0,51.0,113.0,548.28,715.9499999999999,63.94,25.188852459016392,24.28783333333333,20.64731707317073,89.009,1218.72
3500204,Adolfo (SP),SP,Cana-de-açúcar,2007,3418,3418.0,341800.0,100000.0,100.0,100.0,0.0,10596.0,SP,1217.03,23.63123287671233,29.752767123287672,18.058712328767125,69.73309589041097,18.974931506849316,365,0.0,206.8222621184919,3.3343287671232877,11.694054794520547,42.0,70.0,10.0,80.0,50.0,113.0,286.17,760.47,170.39000000000001,26.680491803278688,24.38175,19.874552845528456,100.0,1328.17
