NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,V_numerico,variavel_padronizada
6,Município,1017,Toneladas,910000,3500105,Adamantina (SP),214,Quantidade produzida,2018,2018,40106,Cana-de-açúcar,910000,producao_ton
6,Município,1017,Toneladas,937500,3500105,Adamantina (SP),214,Quantidade produzida,2019,2019,40106,Cana-de-açúcar,937500,producao_ton
6,Município,1017,Toneladas,794430,3500105,Adamantina (SP),214,Quantidade produzida,2020,2020,40106,Cana-de-açúcar,794430,producao_ton
6,Município,1017,Toneladas,888680,3500105,Adamantina (SP),214,Quantidade produzida,2021,2021,40106,Cana-de-açúcar,888680,producao_ton
6,Município,1017,Toneladas,815685,3500105,Adamantina (SP),214,Quantidade produzida,2022,2022,40106,Cana-de-açúcar,815685,producao_ton
6,Município,1017,Toneladas,807039,3500105,Adamantina (SP),214,Quantidade produzida,2023,2023,40106,Cana-de-açúcar,807039,producao_ton
6,Município,1017,Toneladas,811238,3500105,Adamantina (SP),214,Quantidade produzida,2024,2024,40106,Cana-de-açúcar,811238,producao_ton
6,Município,33,Quilogramas por Hectare,50000,3500105,Adamantina (SP),112,Rendimento médio da produção,2000,2000,40106,Cana-de-açúcar,50000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2001,2001,40106,Cana-de-açúcar,80000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,76311,3500105,Adamantina (SP),112,Rendimento médio da produção,2002,2002,40106,Cana-de-açúcar,76311,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,77794,3500105,Adamantina (SP),112,Rendimento médio da produção,2003,2003,40106,Cana-de-açúcar,77794,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2004,2004,40106,Cana-de-açúcar,80000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,81307,3500105,Adamantina (SP),112,Rendimento médio da produção,2005,2005,40106,Cana-de-açúcar,81307,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,75000,3500105,Adamantina (SP),112,Rendimento médio da produção,2006,2006,40106,Cana-de-açúcar,75000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,100000,3500105,Adamantina (SP),112,Rendimento médio da produção,2007,2007,40106,Cana-de-açúcar,100000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,90000,3500105,Adamantina (SP),112,Rendimento médio da produção,2008,2008,40106,Cana-de-açúcar,90000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2009,2009,40106,Cana-de-açúcar,80000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2010,2010,40106,Cana-de-açúcar,80000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,75000,3500105,Adamantina (SP),112,Rendimento médio da produção,2011,2011,40106,Cana-de-açúcar,75000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,60000,3500105,Adamantina (SP),112,Rendimento médio da produção,2012,2012,40106,Cana-de-açúcar,60000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,70000,3500105,Adamantina (SP),112,Rendimento médio da produção,2013,2013,40106,Cana-de-açúcar,70000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,60000,3500105,Adamantina (SP),112,Rendimento médio da produção,2014,2014,40106,Cana-de-açúcar,60000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2015,2015,40106,Cana-de-açúcar,80000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2016,2016,40106,Cana-de-açúcar,80000,rendimento_kg_ha
6,Município,33,Quilogramas por Hectare,80000,3500105,Adamantina (SP),112,Rendimento médio da produção,2017,2017,40106,Cana-de-açúcar,80000,rendimento_kg_ha
