codigo_ibge,nome_municipio,latitude,longitude
3524907,Jambeiro,-23.2556416,-45.6919926
3543105,Ribeirão Corrente,-20.457872,-47.590394
3526407,Laranjal Paulista,-23.0514764,-47.8370125
3532306,Natividade da Serra,-23.3783786,-45.4438173
3503109,Arandu,-23.1345103,-49.0545651
3510807,Casa Branca,-21.7743137,-47.0852175
3528403,Mairinque,-23.5184259,-47.1984731
3528700,Marabá Paulista,-22.1069936,-51.9629504
3519501,Ibirarema,-22.8131812,-50.0720477
3539301,Pirassununga,-21.9980468,-47.4280861
3552601,Tabapuã,-20.9648397,-49.0332398
3546207,Santa Cruz da Conceição,-22.1378975,-47.4555647
3540853,Pracinha,-21.8537103,-51.0862052
3555703,União Paulista,-20.8877642,-49.8976558
3553807,Taquarituba,-23.5337307,-49.2452541
3545308,Salto de Pirapora,-23.6492502,-47.5729465
3544608,Sabino,-21.4598472,-49.5776811
3534708,Ourinhos,-22.9777918,-49.868204
3507803,Brodowski,-20.9862299,-47.6578768
3516853,Gavião Peixoto,-21.8377536,-48.492853
3549706,São José do Rio Pardo,-21.595288,-46.887303
3508009,Buri,-23.79849,-48.598924
3538600,Piracaia,-23.052545,-46.359374
3541703,Quatá,-22.2470977,-50.7003624
3515657,Fernão,-22.3595388,-49.5209504
3517802,Guaraçaí,-21.0322387,-51.2100464
3512209,Conchal,-22.337512,-47.172927
3551702,Sertãozinho,-21.1375782,-47.9913741
3510401,Capivari,-22.9999295,-47.5031066
3522703,Itápolis,-21.5958368,-48.8122696
3544905,Sales Oliveira,-20.769612,-47.836873
3529807,Mineiros do Tietê,-22.4133188,-48.450554
3518008,Guarani d'Oeste,-20.0749605,-50.3398517
3543253,Ribeirão Grande,-24.10114,-48.367931
3505203,Bariri,-22.0746355,-48.7394852
3527009,Lindóia,-22.5229637,-46.6502119
3518404,Guaratinguetá,-22.8057839,-45.1908926
3544251,Rosana,-22.578587,-53.0547967
3545209,Salto,-23.1989983,-47.2913682
3550209,São Miguel Arcanjo,-23.8807771,-47.9963492
3528007,Macatuba,-22.50022,-48.710229
3515186,Espírito Santo do Pinhal,-22.1929522,-46.7470021
3524600,Jacupiranga,-24.6945594,-48.0024027
3514106,Dois Córregos,-22.3697554,-48.3845315
3501905,Amparo,-22.70111,-46.76444
3527900,Lutécia,-22.338378,-50.394007
3539004,Pirangi,-21.0969623,-48.6652131
3529658,Mesópolis,-19.9662274,-50.6190438
3502606,Aparecida d'Oeste,-20.4498109,-50.8808706
3542701,Restinga,-20.6032343,-47.4830912
3542602,Registro,-24.497942,-47.844895
3522000,Itaju,-21.9816841,-48.8046536
3525904,Jundiaí,-23.1887668,-46.884506
3522406,Itapeva,-23.9849105,-48.8803886
3507506,Botucatu,-22.8879628,-48.4410712
3502309,Anhembi,-22.7891096,-48.1316776
3508306,Cabrália Paulista,-22.4562909,-49.3385645
3509106,Caiuá,-21.8319357,-51.9887179
3532843,Nova Canaã Paulista,-20.3872473,-50.9481571
3555208,Turiúba,-20.9491284,-50.1082011
3555356,Ubarana,-21.1637674,-49.7167796
3540309,Pontes Gestal,-20.1833464,-49.7031406
3507209,Borá,-22.2703347,-50.5442675
3546900,Santa Lúcia,-21.6861811,-48.0836814
3514007,Dobrada,-21.5180904,-48.3938897
3514700,Echaporã,-22.4325855,-50.2037693
3541307,Presidente Epitácio,-21.765074,-52.11114
3544301,Roseira,-22.8980898,-45.3093218
3505401,Barra do Turvo,-24.756421,-48.5056942
3517703,Guará,-20.4290496,-47.8250067
3534609,Osvaldo Cruz,-21.7962773,-50.879119
3510708,Cardoso,-20.080447,-49.9139767
3547007,Santa Maria da Serra,-22.5691072,-48.157095
3530102,Mirandópolis,-21.1328313,-51.1029422
3516002,Flórida Paulista,-21.614061,-51.1729548
3530003,Mira Estrela,-19.9806298,-50.136873
3524105,Ituverava,-20.3366604,-47.7797924
3554706,Torrinha,-22.4302536,-48.1690653
3519055,Holambra,-22.6332028,-47.0545305
3502754,Araçariguama,-23.4388277,-47.0613084
3529104,Marinópolis,-20.4408333,-50.8227778
3539202,Pirapozinho,-22.2738742,-51.4998867
3506359,Bertioga,-23.848568,-46.139586
3537602,Peruíbe,-24.3218105,-46.9977452
3536901,Pedranópolis,-20.249177,-50.1102463
3543238,Ribeirão dos Índios,-21.8378246,-51.602158
3507407,Borborema,-21.6212706,-49.074135
3507902,Brotas,-22.2840884,-48.1267265
3513306,Cruzália,-22.7434438,-50.7911037
3557006,Votorantim,-23.5380539,-47.4422137
3541653,Quadra,-23.299332,-48.054657
3535705,Paraíso,-21.015911,-48.776105
3508900,Caiabu,-22.0143038,-51.2356597
3527405,Lucélia,-21.7211293,-51.0188
3515608,Fernando Prestes,-21.266061,-48.687384
3545407,Salto Grande,-22.8878776,-49.9837107
3502903,Araçoiaba da Serra,-23.5045367,-47.6168158
3542206,Rancharia,-22.2294981,-50.8922333
3549607,São José do Barreiro,-22.6452376,-44.5805246
3519105,Iacanga,-21.8928341,-49.0226082
3556354,Vargem,-22.8902379,-46.4145366
3522307,Itapetininga,-23.588607,-48.048326
3554409,Terra Roxa,-20.787015,-48.331442
3507704,Braúna,-21.5015319,-50.3175246
3519303,Ibaté,-21.9562015,-48.0007848
3532157,Nantes,-22.6191472,-51.2382255
3536505,Paulínia,-22.7630391,-47.1532213
3521200,Iporanga,-24.5843214,-48.594028
3548005,Santo Antônio de Posse,-22.6053304,-46.9197291
3537156,Pedrinhas Paulista,-22.815725,-50.792359
3555505,Ubirajara,-22.5261054,-49.6635412
3525201,Jarinu,-23.0949649,-46.7148565
3543709,Rincão,-21.5881095,-48.0724258
3533304,Nova Luzitânia,-20.8558333,-50.2619444
3526308,Lagoinha,-23.0898337,-45.1903825
3504701,Balbinos,-21.9006253,-49.3583966
3525409,Jeriquara,-20.3104773,-47.5915669
3532108,Murutinga do Sul,-20.9913722,-51.2782237
3553500,Tapiraí,-23.9638345,-47.5067136
3553955,Tarumã,-22.7474736,-50.5783374
3555000,Tupã,-21.9349129,-50.5141255
3544400,Rubiácea,-21.2996334,-50.7298698
3541505,Presidente Venceslau,-21.877116,-51.8451047
3507100,Bom Jesus dos Perdões,-23.1353864,-46.4648052
3540705,Porto Ferreira,-21.8529134,-47.4794943
3548302,Santo Expedito,-21.8508736,-51.3925315
3508108,Buritama,-21.0664017,-50.1448077
3550100,São Manuel,-22.732081,-48.572316
3549201,São João das Duas Pontes,-20.3878223,-50.378858
3540804,Potirendaba,-21.0457369,-49.3767154
3534757,Ouroeste,-20.0013584,-50.3736414
3554755,Trabiju,-22.0410733,-48.3350302
3553906,Tarabai,-22.3038726,-51.5628675
3541208,Presidente Bernardes,-22.0064609,-51.5542973
3531803,Monte Mor,-22.945043,-47.312182
3534807,Ouro Verde,-21.4892638,-51.7025981
3535002,Palestina,-20.389344,-49.4320384
3521903,Itajobi,-21.312294,-49.0596336
3517406,Guaíra,-20.3245873,-48.3148818
3521804,Itaí,-23.4172598,-49.0935788
3552205,Sorocaba,-23.5003451,-47.4582864
3556800,Viradouro,-20.8726051,-48.2968122
3526803,Lençóis Paulista,-22.6029897,-48.8031367
3515152,Engenheiro Coelho,-22.4896659,-47.2119005
3540903,Pradópolis,-21.3597815,-48.0746603
3555307,Turmalina,-20.0530658,-50.4763212
3525706,José Bonifácio,-21.055062,-49.689233
3502705,Apiaí,-24.5076527,-48.8461582
3556404,Vargem Grande do Sul,-21.8310636,-46.893303
3514205,Dolcinópolis,-20.1230736,-50.513261
3519204,Iacri,-21.8583385,-50.6892931
3514304,Dourado,-22.116287,-48.3174349
3517901,Guaraci,-20.4976771,-48.9452074
3556107,Valentim Gentil,-20.4226107,-50.0861511
3530805,Mogi Mirim,-22.433123,-46.958246
3540101,Pongaí,-21.7379814,-49.3584449
3536000,Parapuã,-21.781309,-50.7922396
3543501,Riversul,-23.8303603,-49.4340558
3553658,Taquaral,-21.07373,-48.412553
3556958,Vitória Brasil,-20.1978821,-50.4847947
3513850,Dirce Reis,-20.4664067,-50.606276
3515905,Floreal,-20.6767063,-50.1455638
3548104,Santo Antônio do Jardim,-22.1158536,-46.6839541
3552551,Suzanápolis,-20.5011185,-51.0246771
3509809,Campos Novos Paulista,-22.601952,-49.998726
3517208,Guaiçara,-21.6213012,-49.7962941
3524501,Jaci,-20.8844434,-49.5710544
3513108,Cravinhos,-21.340278,-47.729444
3553104,Taiaçu,-21.143144,-48.511203
3545159,Saltinho,-22.8446614,-47.675489
3553609,Tapiratiba,-21.46824,-46.7493221
3527256,Lourdes,-20.9672545,-50.224966
3505906,Batatais,-20.892867,-47.592149
